DRAW,DATE,GAME,AB1,AB2,AB3,AB4,AB5,AB6,BB,WIN1,DIV1,WIN2,DIV2,WIN3,DIV3,WIN4,DIV4,WIN5,DIV5,WIN6,DIV6,WIN7,DIV7,WIN8,DIV8,WIN9,DIV9
1792,2018-02-28,LOTTO,51,39,30,28,5,9,47,0,0,2,51960.60,35,5163.70,80,2823.90,1926,197.10,2355,140.00,40477,50.00,26522,20.00
1791,2018-02-24,LOTTO,29,15,31,12,11,6,8,0,0,1,110368.40,49,3917.30,140,1713.80,2884,139.70,4345,80.60,56292,50.00,45234,20.00
1790,2018-02-21,LOTTO,49,17,36,26,1,14,32,0,0,0,0,36,6012.50,89,1930.10,1906,151.40,2271,110.40,35432,50.00,24186,20.00
1789,2018-02-17,LOTTO,21,33,9,38,32,27,11,0,0,2,49738.30,60,2883.40,166,1302.80,2954,123.00,4263,74.10,51539,50.00,43954,20.00
1788,2018-02-14,LOTTO,40,2,28,18,45,46,22,1,6606515.10,0,0,38,6315.80,108,1763.60,1598,200.30,2665,104.40,34067,50.00,29226,20.00
1787,2018-02-10,LOTTO,1,41,16,17,18,52,38,0,0,2,60265.60,34,6165.30,122,2147.80,2541,173.20,3203,199.40,50946,50.00,36476,20.00
1786,2018-02-07,LOTTO,19,49,6,50,47,52,16,1,11083019.30,1,105451.50,48,3820.70,131,1749.90,2905,132.60,3019,110.90,43893,50.00,33429,20.00
1785,2018-02-03,LOTTO,7,44,21,6,50,16,28,0,0,2,66224.40,39,5906.30,137,2101.70,2906,166.50,3965,106.00,59169,50.00,44322,20.00
1784,2018-01-31,LOTTO,34,19,18,26,42,40,1,0,0,1,111290.70,45,4301.20,109,2219.70,2518,161.30,3177,111.10,50115,50.00,37105,20.00
1783,2018-01-27,LOTTO,48,7,24,21,6,15,16,4,27500000.00,8,44738.10,146,4263.30,446,1744.50,8844,147.80,12928,87.90,177909,50.00,137556,20.00
