DRAW,DATE,GAME,AB1,AB2,AB3,AB4,AB5,AB6,BB,WIN1,DIV1,WIN2,DIV2,WIN3,DIV3,WIN4,DIV4,WIN5,DIV5,WIN6,DIV6,WIN7,DIV7,WIN8,DIV8,OB1,OB2,OB3,OB4,OB5,OB6
1547,2015-10-24,LOTTO,29,28,31,5,40,11,46,0,0.00,7,44894.00,91,7771.00,168,2338.00,4293,307.00,4793,108.00,78813,36.00,0,0.00,5,11,28,29,31,40
1548,2015-10-28,LOTTO,23,46,31,42,47,16,4,0,0.00,1,249171.00,52,10782.00,133,2342.00,3048,342.00,4125,166.00,55345,41.00,0,0.00,16,23,31,42,46,47
1549,2015-10-31,LOTTO,1,24,39,30,44,20,26,0,0.00,1,337610.00,80,9495.00,182,2319.00,4221,335.00,5728,162.00,81680,37.00,0,0.00,1,20,24,30,39,44
1550,2015-11-04,LOTTO,40,36,29,31,38,39,6,0,0.00,2,140102.00,74,8520.00,140,2502.00,3766,312.00,4326,178.00,61527,41.00,0,0.00,29,31,36,38,39,40
1551,2015-11-07,LOTTO,4,1,7,20,3,16,5,0,0.00,14,24092.00,258,2941.00,1234,343.00,8215,172.00,21751,43.00,113928,27.00,0,0.00,1,3,4,7,16,20
1552,2015-11-11,LOTTO,21,20,14,2,37,25,14,0,0.00,3,85565.00,62,9316.00,158,2031.00,3567,301.00,5198,136.00,66811,35.00,0,0.00,2,14,20,21,25,37
1553,2015-11-14,LOTTO,4,38,8,44,11,5,31,2,5347710.00,0,0.00,100,11278.00,266,1919.00,5434,267.00,6505,147.00,101186,31.00,0,0.00,4,5,8,11,38,44
1554,2015-11-18,LOTTO,30,3,14,41,27,38,22,1,1025751.00,0,0.00,48,15222.00,155,1813.00,1579,365.00,4319,143.00,50016,40.00,0,0.00,3,14,27,30,38,41
1555,2015-11-21,LOTTO,9,4,42,8,29,6,46,0,0.00,2,147137.00,76,8712.00,159,2314.00,5054,244.00,4702,172.00,85802,31.00,0,0.00,4,6,8,9,29,42
1556,2015-11-25,LOTTO,34,14,43,5,44,23,8,1,2460063.00,5,48984.00,90,6123.00,222,1379.00,3334,308.00,5044,134.00,59751,37.00,0,0.00,5,14,23,34,43,44
